,Month,Day,Year,Assgn_dam,NodeCount_x,NodeCount_y
259,1,11,2016,103.0,24,42
260,1,11,2016,426.0,7,50
261,1,11,2016,428.0,33,42
262,1,11,2016,431.0,48,47
263,1,11,2016,8626.0,50,50
264,1,11,2016,8629.0,41,45
265,1,11,2016,8642.0,44,44
266,1,11,2020,59.0,33,49
267,1,11,2020,60.0,20,47
268,1,11,2022,246.0,42,49
269,1,11,2022,426.0,5,50
270,1,11,2022,428.0,34,44
271,1,11,2022,436.0,49,50
272,1,11,2022,8626.0,50,50
273,1,11,2022,8629.0,41,43
274,1,11,2022,8635.0,48,48
275,1,11,2022,8639.0,30,49
276,1,11,2022,8642.0,37,49
277,1,11,2024,265.0,40,49
278,1,11,2024,268.0,37,36
279,1,11,2024,8672.0,43,50
280,1,11,2024,8675.0,13,18
281,1,11,2024,8680.0,25,50
282,1,11,2024,8681.0,50,43
283,1,11,2025,15.0,40,5
284,1,11,2025,18.0,5,30
285,1,11,2025,99.0,18,49
286,1,11,2025,103.0,16,42
287,1,12,2014,95.0,9,15
288,1,12,2014,8591.0,19,35
289,1,12,2014,8594.0,12,48
290,1,12,2014,8595.0,17,46
291,1,12,2014,8604.0,50,34
292,1,12,2014,8617.0,48,47
293,1,12,2014,8622.0,49,47
294,1,12,2014,8626.0,50,50
295,1,12,2014,8628.0,50,41
296,1,12,2014,8629.0,41,47
297,1,12,2014,8631.0,50,50
298,1,12,2014,8636.0,49,49
299,1,12,2014,8637.0,34,49
300,1,12,2014,8639.0,21,47
301,1,12,2016,225.0,34,40
302,1,12,2016,232.0,13,36
303,1,12,2016,246.0,46,50
304,1,12,2016,253.0,37,35
305,1,12,2016,8530.0,23,30
306,1,12,2021,620.0,49,47
307,1,12,2021,635.0,43,46
308,1,12,2021,30542.0,38,50
309,1,12,2022,250.0,30,18
310,1,12,2022,459.0,34,6
311,1,12,2023,60.0,19,44
312,1,12,2025,225.0,18,35
313,1,12,2025,231.0,10,36
314,1,12,2025,232.0,6,38
315,1,12,2025,484.0,29,41
316,1,12,2025,8644.0,9,21
317,1,12,2025,8658.0,15,49
318,1,13,2015,59.0,41,48
319,1,13,2015,60.0,24,46
320,1,13,2016,525.0,11,39
321,1,13,2017,426.0,6,50
322,1,13,2017,8626.0,43,8
323,1,13,2017,8635.0,26,40
324,1,13,2020,95.0,10,33
325,1,13,2021,60.0,10,40
326,1,13,2021,8550.0,45,50
327,1,13,2022,8534.0,50,48
328,1,13,2024,298.0,8,35
329,1,13,2024,301.0,9,37
330,1,13,2024,306.0,22,40
331,1,13,2024,620.0,37,47
332,1,13,2024,8560.0,49,49
333,1,13,2024,8562.0,6,50
334,1,14,2014,454.0,28,30
335,1,14,2014,459.0,40,6
336,1,14,2014,8644.0,26,24
337,1,14,2016,293.0,25,45
338,1,14,2016,297.0,7,43
339,1,14,2016,298.0,8,30
340,1,14,2016,301.0,11,37
341,1,14,2016,305.0,48,48
342,1,14,2016,306.0,36,44
343,1,14,2016,8545.0,46,49
344,1,14,2018,8590.0,41,22
345,1,14,2022,525.0,11,38
346,1,14,2022,587.0,42,45
347,1,14,2022,8670.0,6,43
348,1,14,2023,426.0,6,50
349,1,14,2023,8626.0,50,50
350,1,14,2023,8629.0,41,43
351,1,14,2023,8635.0,50,48
352,1,14,2024,59.0,20,49
353,1,14,2024,60.0,26,44
354,1,14,2024,620.0,49,46
355,1,14,2025,48.0,5,49
356,1,14,2025,293.0,17,35
357,1,14,2025,305.0,33,45
358,1,14,2025,525.0,11,33
359,1,14,2025,587.0,48,44
360,1,14,2025,8670.0,5,43
361,1,15,2014,265.0,44,43
362,1,15,2014,266.0,49,33
363,1,15,2014,268.0,40,49
364,1,15,2014,8530.0,16,31
365,1,15,2014,8532.0,39,39
366,1,15,2014,8534.0,50,48
367,1,15,2015,95.0,10,34
368,1,15,2021,95.0,12,32
369,1,15,2021,8591.0,11,28
370,1,15,2021,8595.0,14,47
371,1,15,2021,8604.0,48,33
372,1,15,2021,8622.0,48,47
373,1,15,2021,8626.0,50,50
374,1,15,2021,8629.0,41,44
375,1,15,2022,8678.0,17,27
376,1,15,2023,459.0,30,7
377,1,15,2023,8644.0,11,22
378,1,15,2025,298.0,8,35
379,1,15,2025,567.0,18,50
380,1,15,2025,585.0,7,34
381,1,15,2025,591.0,49,46
382,1,15,2025,620.0,49,48
383,1,16,2014,525.0,11,31
384,1,16,2014,546.0,22,48
385,1,16,2014,548.0,40,46
386,1,16,2014,555.0,28,46
387,1,16,2014,559.0,21,33
388,1,16,2014,587.0,49,47
389,1,16,2015,225.0,9,42
390,1,16,2015,246.0,7,49
391,1,16,2016,317.0,31,44
392,1,16,2016,8550.0,46,50
393,1,16,2018,95.0,7,28
394,1,16,2018,99.0,8,27
395,1,16,2018,103.0,19,19
396,1,16,2021,225.0,5,39
397,1,16,2022,60.0,13,7
398,1,16,2022,107.0,34,19
399,1,16,2024,95.0,9,16
400,1,16,2025,59.0,38,48
401,1,16,2025,60.0,20,29
402,1,16,2025,70.0,13,23
403,1,17,2014,298.0,8,39
404,1,17,2014,301.0,14,39
405,1,17,2014,8545.0,48,49
406,1,17,2014,8562.0,6,49
407,1,17,2015,476.0,8,46
408,1,17,2015,484.0,23,44
409,1,17,2015,488.0,32,49
410,1,17,2015,495.0,45,25
411,1,17,2015,8660.0,5,49
412,1,17,2018,225.0,43,40
413,1,17,2018,231.0,11,48
414,1,17,2018,232.0,21,48
415,1,17,2018,250.0,50,18
416,1,17,2018,253.0,34,42
417,1,17,2020,525.0,11,36
418,1,17,2020,8670.0,23,45
419,1,17,2023,293.0,14,36
420,1,17,2023,305.0,34,39
421,1,17,2024,431.0,43,47
422,1,17,2024,436.0,49,50
423,1,17,2024,8626.0,50,50
424,1,17,2024,8629.0,41,40
425,1,17,2024,8635.0,50,48
426,1,17,2024,8642.0,48,41
427,1,17,2025,8591.0,19,39
428,1,17,2025,8595.0,19,47
429,1,17,2025,8597.0,6,36
430,1,18,2015,265.0,42,48
431,1,18,2015,266.0,46,32
432,1,18,2015,268.0,38,44
433,1,18,2015,8530.0,17,34
434,1,18,2015,8532.0,35,39
435,1,18,2015,8534.0,50,47
436,1,18,2016,8617.0,49,46
437,1,18,2016,8622.0,49,47
438,1,18,2016,8626.0,50,50
439,1,18,2016,8628.0,49,42
440,1,18,2016,8629.0,41,45
441,1,18,2016,8631.0,50,48
442,1,18,2016,8637.0,15,41
443,1,18,2017,59.0,34,48
444,1,18,2017,60.0,10,45
445,1,18,2018,501.0,5,18
446,1,18,2018,525.0,11,31
447,1,18,2021,48.0,8,47
448,1,18,2022,8591.0,18,7
449,1,18,2022,8604.0,49,35
450,1,18,2022,8617.0,49,47
451,1,18,2022,8622.0,46,47
452,1,18,2022,8626.0,50,50
453,1,18,2022,8628.0,37,47
454,1,18,2022,8629.0,41,43
455,1,18,2022,8631.0,18,29
456,1,18,2022,8636.0,49,42
457,1,18,2022,8637.0,41,48
458,1,18,2022,8639.0,24,26
459,1,18,2024,225.0,21,40
460,1,18,2024,231.0,10,21
461,1,18,2024,232.0,22,48
462,1,18,2024,250.0,27,18
463,1,18,2024,459.0,31,6
464,1,18,2024,476.0,5,48
465,1,18,2024,501.0,5,15
466,1,18,2024,8644.0,10,21
467,1,18,2025,95.0,15,13
468,1,19,2014,8590.0,44,25
469,1,19,2014,8591.0,22,32
470,1,19,2014,8594.0,5,43
471,1,19,2014,8595.0,14,48
472,1,19,2014,8612.0,49,46
473,1,19,2015,525.0,11,30
474,1,19,2015,546.0,21,43
475,1,19,2015,554.0,29,46
476,1,19,2015,555.0,24,48
477,1,19,2015,559.0,21,41
478,1,19,2015,585.0,6,34
479,1,19,2015,587.0,48,46
480,1,19,2015,8670.0,6,46
481,1,19,2019,103.0,15,30
482,1,19,2021,525.0,11,34
483,1,19,2021,8670.0,7,42
484,1,19,2023,59.0,32,30
485,1,19,2023,60.0,6,9
486,1,19,2023,317.0,36,48
487,1,19,2023,8550.0,43,14
488,1,19,2023,8559.0,50,46
489,1,19,2025,95.0,11,41
490,1,19,2025,99.0,25,44
491,1,19,2025,103.0,25,42
492,1,20,2014,15.0,14,5
493,1,20,2014,18.0,5,27
494,1,20,2018,567.0,13,47
495,1,20,2018,587.0,5,22
496,1,20,2018,591.0,49,47
497,1,20,2019,215.0,7,45
498,1,20,2023,60.0,7,45
499,1,20,2023,8591.0,21,38
500,1,20,2023,8594.0,9,49
501,1,20,2023,8612.0,38,30
502,1,20,2024,269.0,6,9
503,1,20,2024,297.0,7,42
504,1,20,2024,298.0,8,33
505,1,20,2024,301.0,11,37
506,1,20,2024,305.0,20,48
507,1,20,2024,306.0,17,47
508,1,20,2024,525.0,11,36
509,1,20,2024,555.0,27,47
510,1,20,2024,563.0,5,14
511,1,20,2024,587.0,48,47
512,1,20,2024,8545.0,49,49
513,1,20,2024,8548.0,41,42
514,1,20,2025,459.0,20,7
515,1,20,2025,8644.0,12,22
516,1,21,2014,95.0,9,35
517,1,21,2014,99.0,15,43
518,1,21,2014,426.0,6,50
519,1,21,2014,8626.0,50,50
520,1,21,2014,8629.0,41,43
521,1,21,2014,8635.0,50,49
522,1,21,2018,59.0,39,49
523,1,21,2018,60.0,21,45
524,1,21,2019,525.0,11,37
525,1,21,2022,263.0,40,48
526,1,21,2022,265.0,45,43
527,1,21,2022,268.0,36,50
528,1,21,2022,8532.0,40,38
529,1,21,2022,8534.0,41,40
530,1,21,2023,95.0,17,17
531,1,21,2023,8637.0,33,48
532,1,21,2023,8639.0,18,45
533,1,21,2024,567.0,23,49
534,1,21,2024,585.0,5,32
535,1,21,2024,587.0,48,47
536,1,21,2024,591.0,47,47
537,1,21,2024,620.0,49,47
538,1,21,2024,8678.0,19,23
539,1,21,2025,265.0,38,49
540,1,21,2025,268.0,45,50
541,1,21,2025,8532.0,43,39
542,1,21,2025,8534.0,50,46
543,1,22,2014,225.0,33,39
544,1,22,2014,231.0,10,24
545,1,22,2014,232.0,23,48
546,1,22,2014,250.0,45,16
547,1,22,2014,253.0,42,24
548,1,22,2014,8530.0,21,31
549,1,22,2015,60.0,32,46
550,1,22,2021,8628.0,41,34
551,1,22,2022,293.0,22,45
552,1,22,2022,298.0,6,31
553,1,22,2022,305.0,36,40
554,1,22,2022,306.0,32,47
555,1,22,2023,15.0,34,6
